id,runName,instrumentType,runType,data_folder,startDate,totalReadCount
2110,RUN516,HiSeq2500,SR125_index,190418_700523F_0289_ACDMC9ANXX,20190418,772462234
2112,MINI44,MiniSeq,PE_150_MO,190408_MN00710_0045_A000H2NLJ7,20190408,35190420
2113,NOV94,NovaSeq,PE150,190415_A00460_0100_AH7WCNDRXX,20190415,4562652680
2114,NS275,NextSeq,PE75_HIGH,190410_NS500415_0269_AHHK7JBGX9,20190410,11439324870
2120,NOV95,NovaSeq,PE150,190417_A00460_0103_BH7J57DRXX,20190417,4397995604
2122,iSeq32,ISeq,Quant NovaSeq,20190410_FS10000406_35_BNT40322-1836,20190410,0
2123,iSeq33,ISeq,Quant NovaSeq,20190417_FS10000406_39_BPC29607-1506,20190417,79471376
2126,iSeq34,ISeq,Quant NovaSeq,20190415_FS10000406_38_BPA73017-1320,20190415,107944826
2127,NOV98,NovaSeq,SR100,190411_A00460_0099_AH7J7KDRXX,20190411,5369425942
2128,NOV99,NovaSeq,SR100,190411_A00460_0098_BH7J2CDRXX,20190411,2909853189
2129,MS447,MiSeq,Miseq-600cycV3,190411_M04679_0145_000000000-CD4YP,20190411,0
2130,iSeq32_copy,ISeq,Quant NovaSeq,20190411_FS10000406_36_BPA73017-1116,20190411,44660472
2132,RUN517,HiSeq2500,SR125_index,190503_700523F_0290_ACDM67ANXX,20190503,1672434398
2133,NOV100,NovaSeq, PE28_91,190416_A00460_0101_AH7L2WDRXX,20190416,4620833260
2134,NOV101,NovaSeq, PE28_91,190416_A00460_0102_BHHKG7DMXX,20190416,11275468222
2137,NOV97,NovaSeq,SR100,190426_A00460_0109_AH7HYNDRXX,20190426,8023056116
2139,iSeq35,ISeq,Quant NovaSeq,20190425_FS10000406_40_BPA73017-2508,20190425,102790026
2140,NOV103,NovaSeq,SR100,190426_A00460_0108_BH7MKCDRXX,20190426,11782337383
2142,NOV104,NovaSeq,PE26_91,190429_A00460_0111_AH7HVCDRXX,20190429,0
2143,NOV105,NovaSeq, PE28_91,190423_A00460_0105_BHHLMYDMXX,20190423,10462359026
2144,NOV106,NovaSeq, PE28_91,190424_A00460_0107_BHHMFCDMXX,20190424,10421226112
2145,NOV107,NovaSeq, PE28_91,190429_A00460_0110_BHHMLYDMXX,20190429,9565848494
2146,NOV108,NovaSeq, PE28_91,190507_A00460_0116_AHHKGCDMXX,20190507,11093033062
2147,NOV109,NovaSeq, PE28_91,190507_A00460_0115_BHHCF5DMXX,20190507,11094575854
2148,NOV96,NovaSeq,SR100,190423_A00460_0104_AH7HYFDRXX,20190423,4650720807
2150,MS448,MiSeq,Miseq-300cycV2,190423_M04679_0146_000000000-D566N,20190423,0
