run_id,date,instrument_name,number_of_reads,run_type,total_gigabases
381,2015-08-12,HiSeq2500,1791621219,SR125,223
382,2015-07-31,NextSeq,,,
383,2015-08-21,HiSeq2500,2576275946,PE125,322
384,2015-07-31,MiSeq,,,
385,2015-07-31,MiSeq,,,
386,2015-08-04,MiSeq,,,
388,2015-08-11,NextSeq,,,
389,2015-08-21,HiSeq2500,1765439900,SR125,220
390,2015-09-04,HiSeq2500,2139786388,SR125,267
391,2015-08-19,MiSeq,,,
392,2015-08-19,MiSeq,,,
393,2015-09-10,HiSeq2500,2271322420,PE125,283
394,2015-08-19,NextSeq,0,SR150,0
395,2015-08-19,MiSeq,,,
396,2015-08-26,PacBio,,,
397,2015-08-26,PacBio,,,
398,2015-09-16,HiSeq2500,2068336399,SR125,258
399,2015-08-31,PacBio,,,
400,2015-09-01,MiSeq,0,PE300,0
401,2015-09-01,MiSeq,,,
402,2015-10-16,HiSeq2500,3655385474,PE125,456
403,2015-09-04,PacBio,,,
404,2015-09-04,PacBio,,,
405,2015-09-04,PacBio,,,
406,2015-09-04,NextSeq,0,SR150,0
407,2015-09-07,PacBio,,,
408,2015-09-25,HiSeq2500,1832138127,SR125,229
409,2015-09-25,HiSeq2500,2158990622,PE125,269
411,2015-09-17,MiSeq,,,
412,2015-09-17,MiSeq,,,
413,2015-09-17,PacBio,,,
414,2015-09-18,PacBio,,,
415,2015-10-09,HiSeq2500,1647488268,SR125,205
416,2015-09-21,NextSeq,,,
417,2015-09-21,MiSeq,0,PE150,0
419,2015-09-30,PacBio,,,
420,2015-09-30,PacBio,,,
421,2015-09-30,PacBio,,,
422,2015-10-16,HiSeq2500,1799199001,SR125,224
423,2015-10-08,HiSeq2500,1545365110,SR125,193
424,2015-10-16,HiSeq2500,1760853888,SR125,220
425,2015-10-06,PacBio,,,
426,2015-09-17,MiSeq,,,
427,2015-10-08,PacBio,,,
428,2015-10-29,HiSeq2500,2666673076,PE125,333
429,2015-10-29,HiSeq2500,3082754932,PE125,385
430,2015-10-27,HiSeq2500,1659790314,SR125,207
431,2015-10-14,PacBio,,,
432,2015-10-27,HiSeq2500,1675116197,SR125,209
433,2015-10-19,PacBio,,,
434,2015-11-09,HiSeq2500,1837076748,SR125,229
435,2015-11-16,HiSeq2500,1681981300,SR125,210
436,2015-10-23,MiSeq,0,PE250,0
437,2015-11-09,HiSeq2500,3620885088,PE125,452
440,2015-10-28,MiSeq,,,
441,2015-10-28,MiSeq,,,
443,2015-11-02,PacBio,,,
444,2015-11-02,PacBio,,,
445,2015-11-02,PacBio,,,
446,2015-11-02,PacBio,,,
447,2015-11-02,MiSeq,,,
448,2015-11-18,HiSeq2500,4010918136,PE125,501
449,2016-10-12,HiSeq2500,1741860729,SR125,217
450,2015-11-09,MiSeq,,,
451,2015-11-10,NextSeq,0,PE75,0
452,2015-11-13,MiSeq,,,
454,2015-12-02,HiSeq2500,3580587580,PE125,447
455,2015-12-02,HiSeq2500,1535804600,SR125,191
456,2015-11-16,PacBio,,,
457,2015-11-17,MiSeq,,,
458,2015-11-24,HiSeq2500,2570738872,PE125,321
459,2015-11-18,MiSeq,,,
460,2015-11-19,NextSeq,235699630,SR150,35
461,2015-12-11,HiSeq2500,1728636470,SR125,216
462,2015-11-20,MiSeq,,,
463,2015-12-02,HiSeq2500,3192703434,PE125,399
464,2015-12-11,HiSeq2500,3279222902,PE125,409
465,2015-11-24,NextSeq,137403830,PE75,10
466,2015-11-24,NextSeq,429910626,PE75,32
467,2015-12-02,HiSeq2500,3175388956,PE125,396
468,2015-11-26,PacBio,,,
469,2015-11-28,PacBio,,,
470,2015-11-30,NextSeq,163211076,PE75,12
471,2015-12-11,HiSeq2500,1633951044,SR125,204
472,2015-12-23,HiSeq2500,2393131294,PE125,299
473,2015-12-04,PacBio,,,
474,2015-12-04,MiSeq,,,
475,2015-12-09,NextSeq,308157018,PE150,46
476,2015-12-10,PacBio,,,
477,2015-12-22,HiSeq2500,3041848988,PE125,380
478,2015-12-23,HiSeq2500,1492625866,SR125,186
479,2015-12-14,MiSeq,,,
480,2015-12-14,MiSeq,,,
481,2015-12-15,PacBio,,,
482,2015-12-15,PacBio,,,
483,2015-12-14,MiSeq,,,
484,2015-12-17,MiSeq,0,PE250,0
485,2015-12-23,HiSeq2500,1606598106,SR125,200
486,2016-01-15,HiSeq2500,1338968317,SR125,167
487,2015-12-22,PacBio,,,
488,2016-02-04,HiSeq2500,2545463062,PE125,318
489,2016-01-04,PacBio,,,
490,2016-01-04,PacBio,,,
491,2016-03-22,HiSeq4000,5733541908,PE150,860
492,2016-01-11,MiSeq,0,PE300,0
493,2016-01-11,PacBio,,,
494,2016-01-12,PacBio,,,
495,2016-01-14,MiSeq,,,
496,2016-01-14,MiSeq,,,
497,2016-01-28,HiSeq2500,1046318417,SR125,130
498,2016-01-19,PacBio,,,
499,2016-01-19,NextSeq,66534858,PE75,4
500,2016-01-21,PacBio,,,
501,2016-01-22,MiSeq,,,
502,2016-01-22,MiSeq,,,
503,2016-01-22,MiSeq,,,
504,2016-01-22,HiSeq4000,4441065240,PE150,666
505,2016-01-26,PacBio,,,
506,2016-01-26,PacBio,,,
507,2016-01-26,MiSeq,,,
509,0000-00-00,HiSeq2500,2830923578,PE125,353
510,2016-01-28,MiSeq,0,PE300,0
512,2016-02-01,PacBio,,,
513,2016-02-10,HiSeq2500,1530364903,SR125,191
518,2016-02-18,HiSeq2500,2919419088,PE125,364
519,2016-02-04,MiSeq,,,
520,2016-02-04,MiSeq,,,
521,2016-02-19,HiSeq2500,1070034966,SR125,133
522,2016-02-05,MiSeq,,,
523,2016-02-08,PacBio,,,
524,2016-02-09,MiSeq,0,PE150,0
526,2016-02-09,MiSeq,,,
527,2016-02-10,HiSeq2500,0,PE125,0
528,2016-02-11,PacBio,,,
529,2016-02-11,MiSeq,0,PE150,0
530,2016-02-15,PacBio,,,
531,2016-02-16,PacBio,,,
534,2016-02-22,MiSeq,,,
536,2016-02-23,PacBio,,,
537,2016-02-26,HiSeq2500,1449169208,SR125,181
539,2016-03-10,HiSeq2500,1844670222,SR125,230
540,2016-02-26,MiSeq,,,
541,2016-02-26,PacBio,,,
542,2016-02-29,MiSeq,0,PE150,0
543,2016-03-23,HiSeq2500,946972050,SR125,118
545,2016-03-02,PacBio,,,
546,2016-03-02,MiSeq,,,
548,2016-04-05,HiSeq4000,5816766440,PE150,872
549,2016-03-08,PacBio,,,
551,2019-10-24,HiSeq4000,,,
552,2016-03-23,HiSeq2500,2511614680,PE125,313
553,2016-03-14,NextSeq,152885090,PE75,11
554,2016-03-15,PacBio,,,
556,2016-03-17,MiSeq,0,PE300,0
557,2016-03-19,HiSeq2500,1692635903,SR125,211
559,2016-03-18,NextSeq,587702882,SR150,88
560,2016-03-20,NextSeq,949523136,SR150,142
561,2016-03-21,MiSeq,,,
562,2016-03-22,PacBio,,,
564,2016-04-04,HiSeq2500,1463280398,SR125,182
565,2016-03-23,MiSeq,,,
566,2016-03-24,HiSeq4000,2346821090,SR125,293
567,2016-04-05,HiSeq4000,5561450636,PE150,834
568,2016-03-29,PacBio,,,
569,2016-03-31,MiSeq,,,
570,2016-04-20,HiSeq4000,5722701760,PE125,715
571,2016-05-06,HiSeq4000,2441637949,SR125,305
572,2016-04-10,HiSeq2500,1537082531,SR125,192
573,2016-04-04,MiSeq,,,
574,2016-04-06,PacBio,,,
575,2016-04-06,PacBio,,,
576,2016-04-07,PacBio,,,
577,0000-00-00,MiSeq,,,
578,2016-04-11,MiSeq,,,
580,2016-04-20,HiSeq2500,972834849,SR125,121
581,2016-04-20,HiSeq2500,2959254604,PE125,369
582,2016-04-13,MiSeq,,,
583,2016-04-15,NextSeq,378881462,SR150,56
584,2016-04-18,PacBio,,,
585,2016-05-17,HiSeq2500,2868690786,PE125,358
586,2016-05-25,HiSeq4000,4980356588,PE150,747
587,2016-05-17,HiSeq2500,1434999554,SR125,179
588,2016-04-21,MiSeq,0,PE300,0
589,2016-04-21,PacBio,,,
591,2016-04-25,PacBio,,,
592,2016-04-27,NextSeq,,,
593,2016-05-03,PacBio,,,
594,2016-05-03,MiSeq,0,PE300,0
595,2016-05-03,MiSeq,0,PE300,0
596,2016-05-09,PacBio,,,
597,2016-05-10,NextSeq,83300357,PE75,6
598,2016-05-10,MiSeq,,,
599,2016-05-11,PacBio,,,
600,2016-05-18,HiSeq4000,2632660670,SR125,329
601,2016-05-26,HiSeq2500,1431311763,SR125,178
602,2016-05-15,MiSeq,,,
603,2016-05-17,PacBio,,,
604,2016-06-17,HiSeq4000,1858224974,SR125,232
